theta,A2,phi,a,b,z,status
30.0,-20.0,60.0,9.7,6.9,-4.0,NotYet
30.0,-20.0,70.0,9.6,7.1,-3.8,NotYet
30.0,-20.0,70.0,9.5,7.0,-3.6,NotYet
30.0,-20.0,110.0,9.0,7.2,-2.6,NotYet
30.0,-20.0,110.0,9.1,7.2,-2.4,NotYet
30.0,-20.0,110.0,7.4,9.1,-2.2,NotYet
30.0,-20.0,0.0,9.7,7.0,-2.0,NotYet
30.0,-20.0,0.0,9.5,7.0,-1.2,NotYet
30.0,-20.0,0.0,9.6,7.2,-1.0,NotYet
30.0,-20.0,0.0,9.7,7.5,-0.8,NotYet
30.0,-20.0,0.0,9.8,7.7,-0.6,NotYet
30.0,-20.0,0.0,9.9,7.9,-0.4,NotYet
30.0,-20.0,0.0,9.9,8.0,-0.2,NotYet
30.0,-20.0,0.0,10.0,8.0,0.0,NotYet
30.0,-20.0,0.0,10.0,8.1,0.2,NotYet
30.0,-20.0,0.0,9.8,8.4,0.4,NotYet
30.0,-20.0,0.0,6.2,10.8,0.6,NotYet
30.0,-20.0,0.0,13.8,6.1,0.8,NotYet
30.0,-20.0,0.0,13.6,6.0,1.0,NotYet
30.0,-20.0,20.0,14.4,5.9,1.2,NotYet
30.0,-20.0,30.0,14.7,6.0,1.4,NotYet
30.0,-20.0,30.0,14.6,5.9,1.6,NotYet
30.0,-20.0,30.0,14.6,5.9,1.8,NotYet
30.0,-20.0,20.0,14.5,6.0,2.0,NotYet
30.0,-20.0,40.0,14.9,6.6,2.2,NotYet
30.0,-20.0,10.0,12.9,5.7,2.4,NotYet
30.0,-20.0,0.0,12.9,5.6,2.6,NotYet
30.0,-20.0,10.0,12.9,5.3,2.8,NotYet
30.0,-20.0,0.0,12.9,5.1,3.0,NotYet
30.0,-20.0,0.0,12.9,5.2,3.2,NotYet
30.0,-20.0,0.0,12.8,5.3,3.4,NotYet
30.0,-20.0,0.0,12.9,5.4,3.6,NotYet
30.0,-20.0,40.0,14.6,5.6,3.8,NotYet
30.0,-20.0,40.0,14.6,5.6,4.0,NotYet
30.0,-18.0,60.0,9.7,6.7,-4.0,NotYet
30.0,-18.0,60.0,9.6,6.7,-3.8,NotYet
30.0,-18.0,0.0,9.4,7.5,-0.8,NotYet
30.0,-18.0,0.0,9.4,7.8,-0.6,NotYet
30.0,-18.0,0.0,9.5,7.9,-0.4,NotYet
30.0,-18.0,0.0,9.5,8.0,-0.2,NotYet
30.0,-18.0,0.0,9.5,8.1,0.0,NotYet
30.0,-18.0,0.0,9.5,8.2,0.2,NotYet
30.0,-18.0,0.0,13.2,6.5,0.4,NotYet
30.0,-18.0,0.0,13.3,6.3,0.6,NotYet
30.0,-18.0,0.0,13.3,6.1,0.8,NotYet
30.0,-18.0,20.0,14.2,5.9,1.0,NotYet
30.0,-18.0,20.0,14.4,6.1,1.2,NotYet
30.0,-18.0,30.0,14.2,6.1,1.4,NotYet
30.0,-18.0,30.0,14.2,6.0,1.6,NotYet
30.0,-18.0,20.0,14.1,6.1,1.8,NotYet
30.0,-18.0,20.0,14.1,6.2,2.0,NotYet
30.0,-18.0,40.0,14.4,6.8,2.2,NotYet
30.0,-18.0,40.0,14.3,6.7,2.4,NotYet
30.0,-18.0,0.0,12.5,5.6,2.6,NotYet
30.0,-18.0,10.0,12.6,5.3,2.8,NotYet
30.0,-18.0,0.0,12.5,5.3,3.0,NotYet
30.0,-18.0,0.0,12.5,5.4,3.2,NotYet
30.0,-18.0,0.0,12.5,5.5,3.4,NotYet
30.0,-18.0,40.0,14.3,5.9,3.6,NotYet
30.0,-18.0,30.0,14.2,5.6,3.8,NotYet
30.0,-18.0,30.0,14.2,5.6,4.0,NotYet
30.0,-16.0,80.0,9.6,7.1,-4.0,NotYet
30.0,-16.0,60.0,9.7,6.5,-3.8,NotYet
30.0,-16.0,0.0,9.0,7.7,-0.8,NotYet
30.0,-16.0,0.0,9.1,7.8,-0.6,NotYet
30.0,-16.0,110.0,12.7,6.5,-0.4,NotYet
30.0,-16.0,0.0,9.1,8.1,-0.2,NotYet
30.0,-16.0,0.0,12.7,6.6,0.0,NotYet
30.0,-16.0,0.0,12.7,6.6,0.2,NotYet
30.0,-16.0,0.0,12.8,6.4,0.4,NotYet
30.0,-16.0,0.0,12.8,6.2,0.6,NotYet
30.0,-16.0,20.0,13.9,5.9,0.8,NotYet
30.0,-16.0,20.0,13.5,6.0,1.0,NotYet
30.0,-16.0,20.0,13.8,6.2,1.2,NotYet
30.0,-16.0,20.0,13.8,6.1,1.4,NotYet
30.0,-16.0,20.0,13.8,6.1,1.6,NotYet
30.0,-16.0,20.0,13.7,6.3,1.8,NotYet
30.0,-16.0,30.0,13.7,6.4,2.0,NotYet
30.0,-16.0,20.0,13.6,6.4,2.2,NotYet
30.0,-16.0,20.0,13.6,6.3,2.4,NotYet
30.0,-16.0,40.0,13.9,6.7,2.6,NotYet
30.0,-16.0,0.0,12.2,5.4,2.8,NotYet
30.0,-16.0,0.0,12.2,5.4,3.0,NotYet
30.0,-16.0,0.0,12.2,5.6,3.2,NotYet
30.0,-16.0,40.0,13.9,6.1,3.4,NotYet
30.0,-16.0,30.0,13.8,5.8,3.6,NotYet
30.0,-16.0,30.0,13.9,5.8,3.8,NotYet
30.0,-16.0,30.0,13.9,5.7,4.0,NotYet
30.0,-14.0,80.0,9.8,7.0,-4.0,NotYet
30.0,-14.0,110.0,13.4,6.1,-0.8,NotYet
30.0,-14.0,100.0,13.6,6.1,-0.6,NotYet
30.0,-14.0,100.0,13.6,6.2,-0.4,NotYet
30.0,-14.0,30.0,13.7,6.2,-0.2,NotYet
30.0,-14.0,30.0,13.8,6.1,0.0,NotYet
30.0,-14.0,20.0,13.1,6.3,0.2,NotYet
30.0,-14.0,20.0,13.2,6.1,0.4,NotYet
30.0,-14.0,20.0,13.6,5.9,0.6,NotYet
30.0,-14.0,20.0,13.3,6.0,0.8,NotYet
30.0,-14.0,20.0,13.0,6.0,1.0,NotYet
30.0,-14.0,20.0,12.8,6.0,1.2,NotYet
30.0,-14.0,20.0,12.7,6.0,1.4,NotYet
