theta,A2,a,b,z,phi1,phi2,status
30.0,-20.0,9.4,7.1,-3.6,70.0,180.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,190.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,200.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,210.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,220.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,230.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,240.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,250.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,260.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,270.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,280.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,290.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,300.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,310.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,320.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,330.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,340.0,NotYet
30.0,-20.0,9.4,7.1,-3.6,70.0,350.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,0.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,10.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,20.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,30.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,40.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,50.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,60.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,70.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,80.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,90.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,100.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,110.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,120.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,130.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,140.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,150.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,160.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,170.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,180.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,190.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,200.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,210.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,220.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,230.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,240.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,250.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,260.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,270.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,280.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,290.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,300.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,310.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,320.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,330.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,340.0,NotYet
30.0,-20.0,9.0,7.3,-2.6,110.0,350.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,0.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,10.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,20.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,30.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,40.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,50.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,60.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,70.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,80.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,90.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,100.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,110.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,120.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,130.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,140.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,150.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,160.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,170.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,180.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,190.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,200.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,210.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,220.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,230.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,240.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,250.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,260.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,270.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,280.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,290.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,300.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,310.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,320.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,330.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,340.0,NotYet
30.0,-20.0,9.3,7.3,-2.4,110.0,350.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,0.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,10.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,20.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,30.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,40.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,50.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,60.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,70.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,80.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,90.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,100.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,110.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,120.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,130.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,140.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,150.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,160.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,170.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,180.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,190.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,200.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,210.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,220.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,230.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,240.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,250.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,260.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,270.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,280.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,290.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,300.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,310.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,320.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,330.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,340.0,NotYet
30.0,-20.0,7.5,9.2,-2.2,110.0,350.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,0.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,10.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,20.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,30.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,40.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,50.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,60.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,70.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,80.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,90.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,100.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,110.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,120.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,130.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,140.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,150.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,160.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,170.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,180.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,190.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,200.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,210.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,220.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,230.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,240.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,250.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,260.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,270.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,280.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,290.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,300.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,310.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,320.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,330.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,340.0,NotYet
30.0,-20.0,9.0,7.3,-2.0,0.0,350.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,0.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,10.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,20.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,30.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,40.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,50.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,60.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,70.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,80.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,90.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,100.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,110.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,120.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,130.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,140.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,150.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,160.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,170.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,180.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,190.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,200.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,210.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,220.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,230.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,240.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,250.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,260.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,270.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,280.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,290.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,300.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,310.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,320.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,330.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,340.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,350.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,0.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,10.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,20.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,30.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,40.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,50.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,60.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,70.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,80.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,90.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,100.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,110.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,120.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,130.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,140.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,150.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,160.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,170.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,180.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,190.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,200.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,210.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,220.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,230.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,240.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,250.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,260.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,270.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,280.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,290.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,300.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,310.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,320.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,330.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,340.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,350.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,0.0,0.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,0.0,10.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,0.0,20.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,0.0,30.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,0.0,40.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,0.0,50.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,0.0,60.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,0.0,70.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,0.0,80.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,0.0,90.0,NotYet
