theta,A2,a,b,z,phi,status
30.0,-20.0,9.5,7.0,-3.6,100.0,NotYet
30.0,-20.0,9.5,7.0,-3.6,110.0,NotYet
30.0,-20.0,9.0,7.2,-2.6,0.0,NotYet
30.0,-20.0,9.0,7.2,-2.6,10.0,NotYet
30.0,-20.0,9.0,7.2,-2.6,20.0,NotYet
30.0,-20.0,9.0,7.2,-2.6,30.0,NotYet
30.0,-20.0,9.0,7.2,-2.6,40.0,NotYet
30.0,-20.0,9.0,7.2,-2.6,50.0,NotYet
30.0,-20.0,9.0,7.2,-2.6,60.0,NotYet
30.0,-20.0,9.0,7.2,-2.6,70.0,NotYet
30.0,-20.0,9.0,7.2,-2.6,80.0,NotYet
30.0,-20.0,9.0,7.2,-2.6,90.0,NotYet
30.0,-20.0,9.0,7.2,-2.6,100.0,NotYet
30.0,-20.0,9.0,7.2,-2.6,110.0,NotYet
30.0,-20.0,9.1,7.2,-2.4,0.0,NotYet
30.0,-20.0,9.1,7.2,-2.4,10.0,NotYet
30.0,-20.0,9.1,7.2,-2.4,20.0,NotYet
30.0,-20.0,9.1,7.2,-2.4,30.0,NotYet
30.0,-20.0,9.1,7.2,-2.4,40.0,NotYet
30.0,-20.0,9.1,7.2,-2.4,50.0,NotYet
30.0,-20.0,9.1,7.2,-2.4,60.0,NotYet
30.0,-20.0,9.1,7.2,-2.4,70.0,NotYet
30.0,-20.0,9.1,7.2,-2.4,80.0,NotYet
30.0,-20.0,9.1,7.2,-2.4,90.0,NotYet
30.0,-20.0,9.1,7.2,-2.4,100.0,NotYet
30.0,-20.0,9.1,7.2,-2.4,110.0,NotYet
30.0,-20.0,7.4,9.1,-2.2,0.0,NotYet
30.0,-20.0,7.4,9.1,-2.2,10.0,NotYet
30.0,-20.0,7.4,9.1,-2.2,20.0,NotYet
30.0,-20.0,7.4,9.1,-2.2,30.0,NotYet
30.0,-20.0,7.4,9.1,-2.2,40.0,NotYet
30.0,-20.0,7.4,9.1,-2.2,50.0,NotYet
30.0,-20.0,7.4,9.1,-2.2,60.0,NotYet
30.0,-20.0,7.4,9.1,-2.2,70.0,NotYet
30.0,-20.0,7.4,9.1,-2.2,80.0,NotYet
30.0,-20.0,7.4,9.1,-2.2,90.0,NotYet
30.0,-20.0,7.4,9.1,-2.2,100.0,NotYet
30.0,-20.0,7.4,9.1,-2.2,110.0,NotYet
30.0,-20.0,9.7,7.0,-2.0,0.0,NotYet
30.0,-20.0,9.7,7.0,-2.0,10.0,NotYet
30.0,-20.0,9.7,7.0,-2.0,20.0,NotYet
30.0,-20.0,9.7,7.0,-2.0,30.0,NotYet
30.0,-20.0,9.7,7.0,-2.0,40.0,NotYet
30.0,-20.0,9.7,7.0,-2.0,50.0,NotYet
30.0,-20.0,9.7,7.0,-2.0,60.0,NotYet
30.0,-20.0,9.7,7.0,-2.0,70.0,NotYet
30.0,-20.0,9.7,7.0,-2.0,80.0,NotYet
30.0,-20.0,9.7,7.0,-2.0,90.0,NotYet
30.0,-20.0,9.7,7.0,-2.0,100.0,NotYet
30.0,-20.0,9.7,7.0,-2.0,110.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,0.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,10.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,20.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,30.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,40.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,50.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,60.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,70.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,80.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,90.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,100.0,NotYet
30.0,-20.0,9.5,7.0,-1.2,110.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,0.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,10.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,20.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,30.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,40.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,50.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,60.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,70.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,80.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,90.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,100.0,NotYet
30.0,-20.0,9.6,7.2,-1.0,110.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,0.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,10.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,20.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,30.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,40.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,50.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,60.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,70.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,80.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,90.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,100.0,NotYet
30.0,-20.0,9.7,7.5,-0.8,110.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,10.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,20.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,30.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,40.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,50.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,60.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,70.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,80.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,90.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,100.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,110.0,NotYet
30.0,-20.0,9.9,7.9,-0.4,0.0,NotYet
30.0,-20.0,9.9,7.9,-0.4,10.0,NotYet
30.0,-20.0,9.9,7.9,-0.4,20.0,NotYet
30.0,-20.0,9.9,7.9,-0.4,30.0,NotYet
30.0,-20.0,9.9,7.9,-0.4,40.0,NotYet
30.0,-20.0,9.9,7.9,-0.4,50.0,NotYet
30.0,-20.0,9.9,7.9,-0.4,60.0,NotYet
30.0,-20.0,9.9,7.9,-0.4,70.0,NotYet
30.0,-20.0,9.9,7.9,-0.4,80.0,NotYet
30.0,-20.0,9.9,7.9,-0.4,90.0,NotYet
30.0,-20.0,9.9,7.9,-0.4,100.0,NotYet
30.0,-20.0,9.9,7.9,-0.4,110.0,NotYet
30.0,-20.0,9.9,8.0,-0.2,0.0,NotYet
30.0,-20.0,9.9,8.0,-0.2,10.0,NotYet
30.0,-20.0,9.9,8.0,-0.2,20.0,NotYet
30.0,-20.0,9.9,8.0,-0.2,30.0,NotYet
30.0,-20.0,9.9,8.0,-0.2,40.0,NotYet
30.0,-20.0,9.9,8.0,-0.2,50.0,NotYet
30.0,-20.0,9.9,8.0,-0.2,60.0,NotYet
30.0,-20.0,9.9,8.0,-0.2,70.0,NotYet
30.0,-20.0,9.9,8.0,-0.2,80.0,NotYet
30.0,-20.0,9.9,8.0,-0.2,90.0,NotYet
30.0,-20.0,9.9,8.0,-0.2,100.0,NotYet
30.0,-20.0,9.9,8.0,-0.2,110.0,NotYet
30.0,-20.0,10.0,8.0,0.0,0.0,NotYet
30.0,-20.0,10.0,8.0,0.0,10.0,NotYet
30.0,-20.0,10.0,8.0,0.0,20.0,NotYet
30.0,-20.0,10.0,8.0,0.0,30.0,NotYet
30.0,-20.0,10.0,8.0,0.0,40.0,NotYet
30.0,-20.0,10.0,8.0,0.0,50.0,NotYet
30.0,-20.0,10.0,8.0,0.0,60.0,NotYet
30.0,-20.0,10.0,8.0,0.0,70.0,NotYet
30.0,-20.0,10.0,8.0,0.0,80.0,NotYet
30.0,-20.0,10.0,8.0,0.0,90.0,NotYet
30.0,-20.0,10.0,8.0,0.0,100.0,NotYet
30.0,-20.0,10.0,8.0,0.0,110.0,NotYet
30.0,-20.0,10.0,8.1,0.2,0.0,NotYet
30.0,-20.0,10.0,8.1,0.2,10.0,NotYet
30.0,-20.0,10.0,8.1,0.2,20.0,NotYet
30.0,-20.0,10.0,8.1,0.2,30.0,NotYet
30.0,-20.0,10.0,8.1,0.2,40.0,NotYet
30.0,-20.0,10.0,8.1,0.2,50.0,NotYet
30.0,-20.0,10.0,8.1,0.2,60.0,NotYet
30.0,-20.0,10.0,8.1,0.2,70.0,NotYet
30.0,-20.0,10.0,8.1,0.2,80.0,NotYet
30.0,-20.0,10.0,8.1,0.2,90.0,NotYet
30.0,-20.0,10.0,8.1,0.2,100.0,NotYet
30.0,-20.0,10.0,8.1,0.2,110.0,NotYet
