a,b,theta,A2,z,phi,status
11.4,8.5,30,-20.0,-4.0,120.0,NotYet
11.3,8.5,30,-20.0,-3.8,120.0,NotYet
11.2,8.4,30,-20.0,-3.6,120.0,NotYet
11.1,8.3,30,-20.0,-3.4,120.0,NotYet
10.9,8.1,30,-20.0,-3.2,120.0,NotYet
10.7,7.9,30,-20.0,-3.0,120.0,NotYet
10.6,7.6,30,-20.0,-2.8,120.0,NotYet
10.2,7.6,30,-20.0,-2.6,120.0,NotYet
10.3,7.7,30,-20.0,-2.4,120.0,NotYet
10.1,7.7,30,-20.0,-2.2,120.0,NotYet
9.9,7.6,30,-20.0,-2.0,120.0,NotYet
10.2,7.5,30,-20.0,-1.8,120.0,NotYet
10.5,7.4,30,-20.0,-1.6,120.0,NotYet
10.8,7.2,30,-20.0,-1.4,120.0,NotYet
11.4,6.9,30,-20.0,-1.2,120.0,NotYet
11.7,6.7,30,-20.0,-1.0,120.0,NotYet
11.8,6.7,30,-20.0,-0.8,120.0,NotYet
11.9,6.5,30,-20.0,-0.6,120.0,NotYet
12.0,6.5,30,-20.0,-0.4,120.0,NotYet
12.2,6.5,30,-20.0,-0.2,120.0,NotYet
12.3,6.4,30,-20.0,0.0,120.0,NotYet
12.4,6.2,30,-20.0,0.2,120.0,NotYet
12.4,6.1,30,-20.0,0.4,120.0,NotYet
12.4,6.0,30,-20.0,0.6,120.0,NotYet
12.4,5.8,30,-20.0,0.8,120.0,NotYet
12.2,5.9,30,-20.0,1.0,120.0,NotYet
12.0,5.8,30,-20.0,1.2,120.0,NotYet
11.8,5.8,30,-20.0,1.4,120.0,NotYet
11.6,5.7,30,-20.0,1.6,120.0,NotYet
11.5,5.6,30,-20.0,1.8,120.0,NotYet
11.2,5.6,30,-20.0,2.0,120.0,NotYet
10.7,5.7,30,-20.0,2.2,120.0,NotYet
10.0,5.8,30,-20.0,2.4,120.0,NotYet
9.7,5.7,30,-20.0,2.6,120.0,NotYet
9.5,5.5,30,-20.0,2.8,120.0,NotYet
9.5,5.2,30,-20.0,3.0,120.0,NotYet
9.7,4.8,30,-20.0,3.2,120.0,NotYet
8.9,4.8,30,-20.0,3.4,120.0,NotYet
8.9,4.8,30,-20.0,3.6,120.0,NotYet
9.8,4.4,30,-20.0,3.8,120.0,NotYet
9.9,4.3,30,-20.0,4.0,120.0,NotYet
11.3,8.2,30,-18.0,-4.0,120.0,NotYet
11.2,8.2,30,-18.0,-3.8,120.0,NotYet
11.1,8.1,30,-18.0,-3.6,120.0,NotYet
10.9,8.0,30,-18.0,-3.4,120.0,NotYet
10.7,7.8,30,-18.0,-3.2,120.0,NotYet
10.6,7.5,30,-18.0,-3.0,120.0,NotYet
10.3,7.4,30,-18.0,-2.8,120.0,NotYet
10.3,7.5,30,-18.0,-2.6,120.0,NotYet
10.3,7.5,30,-18.0,-2.4,120.0,NotYet
9.8,7.5,30,-18.0,-2.2,120.0,NotYet
10.1,7.4,30,-18.0,-2.0,120.0,NotYet
10.4,7.3,30,-18.0,-1.8,120.0,NotYet
10.7,7.2,30,-18.0,-1.6,120.0,NotYet
11.1,6.9,30,-18.0,-1.4,120.0,NotYet
11.6,6.7,30,-18.0,-1.2,120.0,NotYet
11.7,6.6,30,-18.0,-1.0,120.0,NotYet
11.8,6.5,30,-18.0,-0.8,120.0,NotYet
12.0,6.5,30,-18.0,-0.6,120.0,NotYet
12.1,6.5,30,-18.0,-0.4,120.0,NotYet
12.2,6.4,30,-18.0,-0.2,120.0,NotYet
12.4,6.3,30,-18.0,0.0,120.0,NotYet
12.5,6.1,30,-18.0,0.2,120.0,NotYet
12.4,6.1,30,-18.0,0.4,120.0,NotYet
12.4,5.9,30,-18.0,0.6,120.0,NotYet
12.3,5.9,30,-18.0,0.8,120.0,NotYet
12.1,5.9,30,-18.0,1.0,120.0,NotYet
11.9,5.9,30,-18.0,1.2,120.0,NotYet
11.7,5.8,30,-18.0,1.4,120.0,NotYet
11.6,5.8,30,-18.0,1.6,120.0,NotYet
11.4,5.6,30,-18.0,1.8,120.0,NotYet
10.9,5.8,30,-18.0,2.0,120.0,NotYet
10.5,5.8,30,-18.0,2.2,120.0,NotYet
9.8,5.9,30,-18.0,2.4,120.0,NotYet
9.6,5.8,30,-18.0,2.6,120.0,NotYet
9.4,5.6,30,-18.0,2.8,120.0,NotYet
9.6,5.3,30,-18.0,3.0,120.0,NotYet
9.8,4.9,30,-18.0,3.2,120.0,NotYet
8.9,5.0,30,-18.0,3.4,120.0,NotYet
9.0,5.1,30,-18.0,3.6,120.0,NotYet
9.9,4.6,30,-18.0,3.8,120.0,NotYet
9.9,4.5,30,-18.0,4.0,120.0,NotYet
11.3,7.9,30,-16.0,-4.0,120.0,NotYet
11.1,7.9,30,-16.0,-3.8,120.0,NotYet
11.0,7.8,30,-16.0,-3.6,120.0,NotYet
10.8,7.6,30,-16.0,-3.4,120.0,NotYet
10.6,7.4,30,-16.0,-3.2,120.0,NotYet
10.5,7.2,30,-16.0,-3.0,120.0,NotYet
10.3,7.3,30,-16.0,-2.8,120.0,NotYet
10.3,7.3,30,-16.0,-2.6,120.0,NotYet
9.9,7.3,30,-16.0,-2.4,120.0,NotYet
10.0,7.3,30,-16.0,-2.2,120.0,NotYet
10.3,7.2,30,-16.0,-2.0,120.0,NotYet
10.6,7.1,30,-16.0,-1.8,120.0,NotYet
10.9,6.9,30,-16.0,-1.6,120.0,NotYet
11.4,6.6,30,-16.0,-1.4,120.0,NotYet
11.7,6.6,30,-16.0,-1.2,120.0,NotYet
11.8,6.5,30,-16.0,-1.0,120.0,NotYet
11.9,6.4,30,-16.0,-0.8,120.0,NotYet
12.1,6.5,30,-16.0,-0.6,120.0,NotYet
12.2,6.4,30,-16.0,-0.4,120.0,NotYet
12.3,6.3,30,-16.0,-0.2,120.0,NotYet
12.4,6.2,30,-16.0,0.0,120.0,NotYet
12.4,6.1,30,-16.0,0.2,120.0,NotYet
12.4,6.0,30,-16.0,0.4,120.0,NotYet
12.4,5.9,30,-16.0,0.6,120.0,NotYet
12.2,6.0,30,-16.0,0.8,120.0,NotYet
12.0,6.0,30,-16.0,1.0,120.0,NotYet
11.8,5.9,30,-16.0,1.2,120.0,NotYet
11.6,5.9,30,-16.0,1.4,120.0,NotYet
11.5,5.8,30,-16.0,1.6,120.0,NotYet
11.2,5.9,30,-16.0,1.8,120.0,NotYet
10.7,6.0,30,-16.0,2.0,120.0,NotYet
10.0,6.1,30,-16.0,2.2,120.0,NotYet
9.7,6.0,30,-16.0,2.4,120.0,NotYet
9.5,5.9,30,-16.0,2.6,120.0,NotYet
9.5,5.6,30,-16.0,2.8,120.0,NotYet
9.7,5.3,30,-16.0,3.0,120.0,NotYet
9.1,5.2,30,-16.0,3.2,120.0,NotYet
8.9,5.3,30,-16.0,3.4,120.0,NotYet
9.8,4.9,30,-16.0,3.6,120.0,NotYet
9.9,4.9,30,-16.0,3.8,120.0,NotYet
9.9,4.7,30,-16.0,4.0,120.0,NotYet
11.2,7.6,30,-14.0,-4.0,120.0,NotYet
11.0,7.6,30,-14.0,-3.8,120.0,NotYet
10.9,7.4,30,-14.0,-3.6,120.0,NotYet
10.7,7.2,30,-14.0,-3.4,120.0,NotYet
10.7,7.0,30,-14.0,-3.2,120.0,NotYet
10.2,7.1,30,-14.0,-3.0,120.0,NotYet
10.3,7.1,30,-14.0,-2.8,120.0,NotYet
10.2,7.1,30,-14.0,-2.6,120.0,NotYet
9.9,7.2,30,-14.0,-2.4,120.0,NotYet
10.2,7.1,30,-14.0,-2.2,120.0,NotYet
10.4,7.0,30,-14.0,-2.0,120.0,NotYet
10.7,6.9,30,-14.0,-1.8,120.0,NotYet
11.2,6.7,30,-14.0,-1.6,120.0,NotYet
11.6,6.5,30,-14.0,-1.4,120.0,NotYet
11.8,6.5,30,-14.0,-1.2,120.0,NotYet
11.8,6.4,30,-14.0,-1.0,120.0,NotYet
12.0,6.4,30,-14.0,-0.8,120.0,NotYet
12.1,6.4,30,-14.0,-0.6,120.0,NotYet
12.3,6.4,30,-14.0,-0.4,120.0,NotYet
12.4,6.3,30,-14.0,-0.2,120.0,NotYet
12.5,6.2,30,-14.0,0.0,120.0,NotYet
12.4,6.1,30,-14.0,0.2,120.0,NotYet
12.4,6.0,30,-14.0,0.4,120.0,NotYet
12.3,6.0,30,-14.0,0.6,120.0,NotYet
12.1,6.1,30,-14.0,0.8,120.0,NotYet
11.9,6.1,30,-14.0,1.0,120.0,NotYet
11.7,6.0,30,-14.0,1.2,120.0,NotYet
11.6,6.0,30,-14.0,1.4,120.0,NotYet
11.4,5.9,30,-14.0,1.6,120.0,NotYet
10.9,6.1,30,-14.0,1.8,120.0,NotYet
10.5,6.1,30,-14.0,2.0,120.0,NotYet
9.8,6.2,30,-14.0,2.2,120.0,NotYet
9.6,6.1,30,-14.0,2.4,120.0,NotYet
9.4,5.9,30,-14.0,2.6,120.0,NotYet
9.7,5.7,30,-14.0,2.8,120.0,NotYet
9.8,5.4,30,-14.0,3.0,120.0,NotYet
8.9,5.5,30,-14.0,3.2,120.0,NotYet
9.0,5.6,30,-14.0,3.4,120.0,NotYet
