a,b,theta,A2,z,phi,status
10.3,5.0,30,4.0,-3.8,120.0,NotYet
10.3,5.2,30,4.0,-3.6,120.0,NotYet
9.9,5.3,30,4.0,-3.4,120.0,NotYet
10.2,5.4,30,4.0,-3.2,120.0,NotYet
10.4,5.5,30,4.0,-3.0,120.0,NotYet
10.7,5.4,30,4.0,-2.8,120.0,NotYet
11.1,5.4,30,4.0,-2.6,120.0,NotYet
11.5,5.3,30,4.0,-2.4,120.0,NotYet
11.7,5.4,30,4.0,-2.2,120.0,NotYet
11.7,5.5,30,4.0,-2.0,120.0,NotYet
12.0,5.6,30,4.0,-1.8,120.0,NotYet
12.1,5.7,30,4.0,-1.6,120.0,NotYet
12.2,5.8,30,4.0,-1.4,120.0,NotYet
12.4,5.8,30,4.0,-1.2,120.0,NotYet
12.5,5.8,30,4.0,-1.0,120.0,NotYet
12.4,5.9,30,4.0,-0.8,120.0,NotYet
12.4,5.9,30,4.0,-0.6,120.0,NotYet
12.3,6.0,30,4.0,-0.4,120.0,NotYet
12.1,6.2,30,4.0,-0.2,120.0,NotYet
11.9,6.4,30,4.0,0.0,120.0,NotYet
11.7,6.5,30,4.0,0.2,120.0,NotYet
11.6,6.5,30,4.0,0.4,120.0,NotYet
11.4,6.6,30,4.0,0.6,120.0,NotYet
10.8,6.9,30,4.0,0.8,120.0,NotYet
10.1,7.2,30,4.0,1.0,120.0,NotYet
9.7,7.3,30,4.0,1.2,120.0,NotYet
9.5,7.3,30,4.0,1.4,120.0,NotYet
9.4,7.2,30,4.0,1.6,120.0,NotYet
9.6,7.1,30,4.0,1.8,120.0,NotYet
9.8,7.0,30,4.0,2.0,120.0,NotYet
8.9,7.2,30,4.0,2.2,120.0,NotYet
9.0,7.4,30,4.0,2.4,120.0,NotYet
9.2,7.6,30,4.0,2.6,120.0,NotYet
9.9,7.2,30,4.0,2.8,120.0,NotYet
9.9,7.2,30,4.0,3.0,120.0,NotYet
9.3,7.8,30,4.0,3.2,120.0,NotYet
9.2,7.8,30,4.0,3.4,120.0,NotYet
9.1,7.7,30,4.0,3.6,120.0,NotYet
9.1,7.6,30,4.0,3.8,120.0,NotYet
9.1,7.6,30,4.0,4.0,120.0,NotYet
10.2,4.6,30,6.0,-4.0,120.0,NotYet
10.3,4.8,30,6.0,-3.8,120.0,NotYet
10.0,5.0,30,6.0,-3.6,120.0,NotYet
10.0,5.1,30,6.0,-3.4,120.0,NotYet
10.3,5.2,30,6.0,-3.2,120.0,NotYet
10.6,5.3,30,6.0,-3.0,120.0,NotYet
10.9,5.2,30,6.0,-2.8,120.0,NotYet
11.6,5.0,30,6.0,-2.6,120.0,NotYet
11.7,5.2,30,6.0,-2.4,120.0,NotYet
11.8,5.3,30,6.0,-2.2,120.0,NotYet
11.9,5.3,30,6.0,-2.0,120.0,NotYet
12.0,5.5,30,6.0,-1.8,120.0,NotYet
12.2,5.7,30,6.0,-1.6,120.0,NotYet
12.3,5.7,30,6.0,-1.4,120.0,NotYet
12.4,5.8,30,6.0,-1.2,120.0,NotYet
12.4,5.8,30,6.0,-1.0,120.0,NotYet
12.4,5.9,30,6.0,-0.8,120.0,NotYet
12.4,5.9,30,6.0,-0.6,120.0,NotYet
12.2,6.1,30,6.0,-0.4,120.0,NotYet
12.0,6.3,30,6.0,-0.2,120.0,NotYet
11.8,6.4,30,6.0,0.0,120.0,NotYet
11.6,6.5,30,6.0,0.2,120.0,NotYet
11.5,6.6,30,6.0,0.4,120.0,NotYet
11.1,6.8,30,6.0,0.6,120.0,NotYet
10.6,7.1,30,6.0,0.8,120.0,NotYet
9.8,7.4,30,6.0,1.0,120.0,NotYet
9.6,7.4,30,6.0,1.2,120.0,NotYet
9.4,7.4,30,6.0,1.4,120.0,NotYet
9.6,7.3,30,6.0,1.6,120.0,NotYet
9.7,7.2,30,6.0,1.8,120.0,NotYet
9.0,7.2,30,6.0,2.0,120.0,NotYet
8.9,7.5,30,6.0,2.2,120.0,NotYet
9.1,7.7,30,6.0,2.4,120.0,NotYet
9.9,7.4,30,6.0,2.6,120.0,NotYet
9.9,7.4,30,6.0,2.8,120.0,NotYet
10.0,7.4,30,6.0,3.0,120.0,NotYet
9.2,8.0,30,6.0,3.2,120.0,NotYet
9.1,8.0,30,6.0,3.4,120.0,NotYet
9.1,7.9,30,6.0,3.6,120.0,NotYet
9.1,7.8,30,6.0,3.8,120.0,NotYet
9.1,7.8,30,6.0,4.0,120.0,NotYet
10.3,4.4,30,8.0,-4.0,120.0,NotYet
10.3,4.6,30,8.0,-3.8,120.0,NotYet
9.8,4.8,30,8.0,-3.6,120.0,NotYet
10.1,5.0,30,8.0,-3.4,120.0,NotYet
10.4,5.0,30,8.0,-3.2,120.0,NotYet
10.7,5.0,30,8.0,-3.0,120.0,NotYet
11.7,4.7,30,8.0,-2.8,120.0,NotYet
11.5,4.9,30,8.0,-2.6,120.0,NotYet
11.7,5.1,30,8.0,-2.4,120.0,NotYet
11.7,5.2,30,8.0,-2.2,120.0,NotYet
12.0,5.3,30,8.0,-2.0,120.0,NotYet
12.1,5.5,30,8.0,-1.8,120.0,NotYet
12.2,5.6,30,8.0,-1.6,120.0,NotYet
12.4,5.7,30,8.0,-1.4,120.0,NotYet
12.5,5.7,30,8.0,-1.2,120.0,NotYet
12.4,5.8,30,8.0,-1.0,120.0,NotYet
12.4,5.8,30,8.0,-0.8,120.0,NotYet
12.3,6.0,30,8.0,-0.6,120.0,NotYet
12.1,6.2,30,8.0,-0.4,120.0,NotYet
11.9,6.4,30,8.0,-0.2,120.0,NotYet
11.7,6.5,30,8.0,0.0,120.0,NotYet
11.6,6.6,30,8.0,0.2,120.0,NotYet
11.4,6.7,30,8.0,0.4,120.0,NotYet
10.7,7.1,30,8.0,0.6,120.0,NotYet
9.9,7.4,30,8.0,0.8,120.0,NotYet
9.7,7.5,30,8.0,1.0,120.0,NotYet
9.5,7.5,30,8.0,1.2,120.0,NotYet
9.5,7.4,30,8.0,1.4,120.0,NotYet
9.6,7.4,30,8.0,1.6,120.0,NotYet
9.8,7.2,30,8.0,1.8,120.0,NotYet
8.9,7.6,30,8.0,2.0,120.0,NotYet
9.1,7.8,30,8.0,2.2,120.0,NotYet
9.9,7.5,30,8.0,2.4,120.0,NotYet
9.9,7.6,30,8.0,2.6,120.0,NotYet
10.0,7.6,30,8.0,2.8,120.0,NotYet
9.2,8.2,30,8.0,3.0,120.0,NotYet
9.1,8.2,30,8.0,3.2,120.0,NotYet
9.0,8.2,30,8.0,3.4,120.0,NotYet
9.1,8.1,30,8.0,3.6,120.0,NotYet
9.1,8.1,30,8.0,3.8,120.0,NotYet
9.1,8.1,30,8.0,4.0,120.0,NotYet
10.3,4.2,30,10.0,-4.0,120.0,NotYet
10.1,4.4,30,10.0,-3.8,120.0,NotYet
10.0,4.6,30,10.0,-3.6,120.0,NotYet
10.3,4.8,30,10.0,-3.4,120.0,NotYet
10.5,4.8,30,10.0,-3.2,120.0,NotYet
10.8,4.8,30,10.0,-3.0,120.0,NotYet
11.6,4.6,30,10.0,-2.8,120.0,NotYet
11.6,4.8,30,10.0,-2.6,120.0,NotYet
11.8,4.9,30,10.0,-2.4,120.0,NotYet
11.8,5.0,30,10.0,-2.2,120.0,NotYet
12.0,5.2,30,10.0,-2.0,120.0,NotYet
12.2,5.4,30,10.0,-1.8,120.0,NotYet
12.3,5.5,30,10.0,-1.6,120.0,NotYet
12.4,5.6,30,10.0,-1.4,120.0,NotYet
12.4,5.7,30,10.0,-1.2,120.0,NotYet
12.4,5.8,30,10.0,-1.0,120.0,NotYet
12.4,5.8,30,10.0,-0.8,120.0,NotYet
12.2,6.1,30,10.0,-0.6,120.0,NotYet
12.0,6.3,30,10.0,-0.4,120.0,NotYet
11.8,6.4,30,10.0,-0.2,120.0,NotYet
11.6,6.6,30,10.0,0.0,120.0,NotYet
11.5,6.6,30,10.0,0.2,120.0,NotYet
10.9,7.0,30,10.0,0.4,120.0,NotYet
10.2,7.4,30,10.0,0.6,120.0,NotYet
9.7,7.5,30,10.0,0.8,120.0,NotYet
9.5,7.6,30,10.0,1.0,120.0,NotYet
9.4,7.5,30,10.0,1.2,120.0,NotYet
9.7,7.5,30,10.0,1.4,120.0,NotYet
9.8,7.4,30,10.0,1.6,120.0,NotYet
8.9,7.6,30,10.0,1.8,120.0,NotYet
9.0,7.9,30,10.0,2.0,120.0,NotYet
9.2,8.1,30,10.0,2.2,120.0,NotYet
9.9,7.7,30,10.0,2.4,120.0,NotYet
9.9,7.8,30,10.0,2.6,120.0,NotYet
9.2,8.4,30,10.0,2.8,120.0,NotYet
9.2,8.4,30,10.0,3.0,120.0,NotYet
9.1,8.4,30,10.0,3.2,120.0,NotYet
9.1,8.3,30,10.0,3.4,120.0,NotYet
9.1,8.3,30,10.0,3.6,120.0,NotYet
9.2,8.3,30,10.0,3.8,120.0,NotYet
8.8,8.8,30,10.0,4.0,120.0,NotYet
